chg,current,market_capital,name,pe_ttm,symbol
2.72,191.6,146634800811,麦当劳,24.751,MCD
2.71,34.93,7647497249,Western Midstream,20.701,WES
2.71,463.38,37471423417,易昆尼克斯,102.561,EQIX
2.7,152.2,6423964758,复兴控股,32.563,RNR
2.7,170.57,8035616664,通用显示器,136.567,OLED
2.69,100.34,32982030824,恩智浦,14.938,NXPI
2.67,105.58,1661375206,儿童之家,16.456,PLCE
2.6496,192.1897,36492346202,（STZ.B）,11.687,STZ.B
2.64,107.33,5497360385,新聚思,15.119,SNX
2.63,259.85,9788344478,MarketAxess,56.628,MKTX
4375,314250,515128027500,伯克希尔-哈撒韦A,128.109,BRK.A
25.85,2970.1,10742605182,NVR,13.475,NVR
17.4,168.32,28359608630,先锋自然资源,28.998,PXD
15.37,1001.15,13890852130,Markel Corp,-108.37,MKL
14.98,61.78,31009841091,阿纳达科石油,50.423,APC
14.48,1833.07,82511475816,Booking Holdings,20.638,BKNG
13.68,458.97,8619588324,Credit Acceptance,15.017,CACC
13.46,130.06,193890425796,迪士尼,17.686,DIS
13.25,1217.87,846646656097,谷歌C,27.546,GOOG
13.14,1222.73,850025261981,谷歌A,27.656,GOOGL
10.96,25.46,1943797573,Jumia Technologie,-10.099,JMIA
9.85,338.37,49740390000,Illumina,60.218,ILMN
9.69,58.24,2577857202,生物医药控股,-10.7,BHVN
9.48,379.64,214299932054,波音,20.501,BA
9.16,113.89,22845936866,康休,9.994,CXO
8.24,454.35,71801809213,贝莱德,16.679,BLK
8.09,1088.76,1306512000,"Fortive Corporation 5.00% Mandatory Convertible Preferred Stock, Series A",,FTV-A
7.91,438.01,5038431220,第一公民银行股份,12.586,FCNCA
4.98,111.21,361195073211,摩根大通,11.68,JPM
4.95,212.16,13255646477,马丁-玛丽埃塔材料,28.252,MLM
4.91,712.44,19752732422,Chipotle,111.88,CMG
4.91,202.82,85407041396,阿斯麦,29.12,ASML
4.79,351.26,36393269505,儒博实业,38.536,ROP
4.63,627.1,9071929608,Alleghany保险,229.443,Y
4.59,130.4,20370263090,Check Point 软件,24.77,CHKP
4.59,156.19,3799569936,Coherent,15.765,COHR
4.53,67.13,21871706259,爱迪生国际,47.341,EIX
4.43,226.34,9206429521,艾弗再险集团,88.906,RE
4.2,63.06,438197634,GRAVITY Co,22.779,GRVY
4.11,309.7,87585540974,洛克希德-马丁,17.357,LMT
3.98,132.7,60194381669,匹兹堡金融服务集团,11.894,PNC
3.95,23.08,12176117781,太平洋煤气电力,-1.777,PCG
3.93,188.91,489689528179,阿里巴巴,47.395,BABA
3.89,217.42,125211446599,3M公司,23.408,MMM
3.89,210.56,517734413939,伯克希尔-哈撒韦B,128.758,BRK.B
3.85,260.13,9947351170,辉盛研究系统,31.825,FDS
3.84,214.83,23767978498,Shopify Inc.,-368.193,SHOP
3.77,189.52,84615858422,中海油,10.777,CEO
3.63,70.83,7183603957,Cimarex能源,9.072,XEC
3.58,196.87,4863936171,美国力特保险丝,29.556,LFUS
7.62,317.03,125494949590,博通,19.307,AVGO
7.04,233.74,12591689969,斑马技术,29.909,ZBRA
6.58,105.31,61085914193,EOG能源,17.866,EOG
6.36,106.28,17470468158,Diamondback能源,20.659,FANG
5.8,487.38,17765892418,科斯塔,74.542,CSGP
5.66,283.05,48106903442,诺斯洛普-格鲁门,14.898,NOC
5.51,88.11,490588462,世纪银行,13.547,CNBKA
5.45,77.54,6662872085,Guardant Health,-78.329,GH
5.31,243.74,12831459041,硅谷银行,13.176,SIVB
5.19,180.93,9588871147,联合数据系统,9.956,ADS
5.08,196.95,51320169833,联邦快递,14.114,FDX
5.01,207.84,76228047484,高盛,7.731,GS
3.5,174.93,50514521756,通用动力,15.102,GD
3.49,430.75,4819285275,纽马克特,20.531,NEU
3.47,107.86,186058500,Rayonier Advanced Materials Inc. 8.00% Series A Mandatory Convertible Preferred Stock,0,RYAM-A
3.42,233.89,4794499182,ICU医疗,166.516,ICUI
3.42,293.08,23444685189,爱齐科技,58.577,ALGN
3.41,58.3,43841600000,陶氏化学(更名DWDP),40.038,DOW
3.4,125.02,6233826878,Wix.com,-167.937,WIX
3.38,152.24,6533531840,芯源系统,62.066,MPWR
3.37,217,8309581000,泰勒科技,56.351,TYL
3.32,217.06,17216102613,L-3通讯,17.13,LLL
3.3,366.41,4701227169,LendingTree,48.718,TREE
3.26,167.76,23228263997,美国制商银行,12.11,MTB
3.22,92.79,57278803,AMCON Distributing,16.947,DIT
3.2,105.3,13461892119,塞拉尼斯,11.153,CE
3.15,144.95,26188897056,Spotify,-296.682,SPOT
3.13,135.24,7490045742,Signature银行,17.484,SBNY
3.1041,34.6041,18160779394,探索传播B,30.574,DISCB
3.06,94.84,3888006581,Evercore投行,10.306,EVR
3.03,168.09,6621284121,普尔,28.24,POOL
3.03,92.71,15819447638,飞塔信息,47.62,FTNT
3,121.94,25508213760,皇家加勒比邮轮,14.085,RCL
2.98,700.32,3722182592,格雷厄姆控股,13.725,GHC
2.97,196.15,52330772586,诺福克南方铁路运输,19.629,NSC
2.95,184.41,52047693990,雷神,17.892,RTN
2.89,142.54,19300303851,阿默普莱斯金融,9.199,AMP
2.88,1052.88,1579320000,DANAHER CORP 4.75% MANDTRY CONVERTBLE PFD STK SER A,,DHR-A
2.85,11.49,31023000,Draper Oakwood,-193.947,RBZ
2.83,169.5,188495618717,联合太平洋,31.595,UNP
2.82,144.24,8268581223,Nordson,25.728,NDSN
2.81,66.1,20030564718,赫斯材料,-61.069,HES
2.8,113.45,3061174495,Proto实验室,39.969,PRLB
2.8,211.57,2821836244,奎克化学,47.447,KWR
2.79,238.83,245017857934,万事达,41.819,MA
2.77,194.08,29615337552,拉姆研究,10.205,LRCX
2.77,188.64,24403480567,派克汉尼汾,17.348,PH
2.76,143.78,15476382724,永利度假村,27.036,WYNN
2.74,143.76,327126455,Biglari控股,16.869,BH
2.72,157.79,9864307964,李尔,8.579,LEA
